label,content,source,author,time
U,@Lionel46294550 Don't understand why or how mining would affect the Coronavirus? Can someone elaborate or is this just FUD,https://twitter.com/ShareableGuy/status/1225701881114066944,ShareableGuy123,Fri Feb 07 08:44:35 +0000 2020
T,Coronavirus brings China's surveillance state out of the shadows | Article [AMP] | Reuters https://t.co/Fg9XwSVZ3r,https://twitter.com/karmacamilleon1/status/1225881080806412291,Esse Quam Videri,Fri Feb 07 20:36:40 +0000 2020
U,all these coronavirus jokes is just an excuse for people to openly express their internalized racism towards marginalized people groups all in the name of “comedy”,https://twitter.com/diortrashbag/status/1227291147397214208,rat trap🥀,Tue Feb 11 17:59:46 +0000 2020
U,#Coronavirusi have a thought maybe china set this loose to retaliate for sanctions and screw with our economy and i think trump knows the book eyes of darkness by dean koontz describes this situation to the tee #veryscetchy,https://twitter.com/eldoggydog316/status/1236108722520436737,william elza,Sat Mar 07 01:57:39 +0000 2020
T,Jaguar Land Rover#39;s UK output threatened by coronavirus-linked parts shortage https://t.co/bMHTziKQKu,https://twitter.com/CrweWorld/status/1229843072126615552,Crwe World,Tue Feb 18 19:00:12 +0000 2020
T,Coronavirus: Italy reports 133 deaths in one day #Coronavirus https://t.co/rfAICTxxcb,https://twitter.com/Henry11742/status/1236718432277671936,Henry,Sun Mar 08 18:20:26 +0000 2020
T,"@cdnfp @TerryGlavin @rolandparis @nspector4 @nytimes @CliveCHamilton @cburton001 @FredLitwin @raykwong @vshih2 @GordonGChang @David_Mulroney @globeandmail @nvanderklippe @cafreeland @Rory_Medcalf @RalphGoodale @JustinTrudeau @csiscanada @ASIO @FBI @AaronFriedberg @elyratner @FenellaSung1 @washingtonpost @DrBeeZee @MichaelAuslen @Colinfreeze @HonJohnMcCallum @ianjamesyoung70 @CanadaChina @CanadaFP @CSIS @cse_cst @NSAGov @DHSgov @GCHQ @stevenchase @TorontoStar @nationalpost @jmohanmalik @MichaelDanbyMP @TheJusticeDept @WHNSC @PekingMike @PnPCBC @dfat @ewong #Harvard!!! ""#CharlesLieber, chair of the department of chemistry and chemical biology...was paid $50,000 a month by the #Wuhan University of Technology in #China and living expenses up to $158,000""https://t.co/B6OklqZeqS #espionage #FBI #CSIS @FP_Champagne @univcan #universities",https://twitter.com/Mark3Ds/status/1222277641069154304,Mark Collins,Tue Jan 28 21:57:53 +0000 2020
T,$SPY Peak Coronavirus? Clothing giant H&amp;M has reopened 37 stores in China and may reopen more this week. 297/520 are currently closed,https://twitter.com/ViaSourceTrades/status/1227998132228829184,Via Source Trading,Thu Feb 13 16:49:04 +0000 2020
T,Our school giving letter regarding the corona virus.. inform the kids not to attend school if they are not feeling well.. ask if they have relatives who came from china and were in contact with them... and possible suspension of classes,https://twitter.com/24365BLINK/status/1225414814874210305,래이야 💎☁️,Thu Feb 06 13:43:53 +0000 2020
U,"@BBCHARDtalk The Coronavirus outbreak,is the biggest global alert that we must act, is linked to the loss of biodiversity, deforestation, atmospheric pollution, the only way to combat all of this is with Education for Health,Sustainability. https://t.co/dnfSIglCQb , Join Us Now",https://twitter.com/globalecologist/status/1232644562168008706,Jose Pedro Naisser,Wed Feb 26 12:32:19 +0000 2020
T,Coronavirus: Republican senator tells Trump to ‘let the professionals do the talking’ after he repeatedly contradicts expert health advice #SmartNews A Liar Lies Trump Proves Daily That One Fact ⁦@realDonaldTrump⁩ https://t.co/74SIBgLm9q,https://twitter.com/jewell_taft/status/1235432458809679872,Shannon Jewell-Taft,Thu Mar 05 05:10:26 +0000 2020
T,* Coronavirus threatens World Indoor Athletics championships in Nanjing https://t.co/G6avEIdwpz,https://twitter.com/CalcDay/status/1221707288601333761,Chris Day,Mon Jan 27 08:11:30 +0000 2020
U,"BIOWEAPON ☣ Open Philanthropy Project funds John Hopkins Center for Health Security. John Hopkins hosted ""EVENT 201"". A Coronavirus simulation in Oct 2019. #wwg1wga #qanon #qarmy #bioweapon #wuhan #billgates #WHO #cdc #potus #america #china #COVID19 https://t.co/HH0G96hxB1",https://twitter.com/politcoexptruth/status/1229657582035488768,Politcoexptruth 🇺🇸,Tue Feb 18 06:43:08 +0000 2020
U,"Whoa. Ok, that’s a game changer for the #CoronaVirus saga in North America. https://t.co/kDOsLdLT4A",https://twitter.com/shauntomko/status/1236114028025376770,Shaun Tomko,Sat Mar 07 02:18:44 +0000 2020
T,Japan's health minister asked citizens to avoid crowded places like subways. This coronavirus is causing states to adapt by radically altering their way of life. How long will this last? https://t.co/O9b9QDRQQx,https://twitter.com/ModernCortes/status/1229320789914214404,Hernan Cortes,Mon Feb 17 08:24:50 +0000 2020
U,That video from China (if real) is pretty disturbing,https://twitter.com/ArtOfJason/status/1227220575065714688,jason,Tue Feb 11 13:19:20 +0000 2020
T,USA still receiving things from “china post”. If money is an issue then I assume mail would be 🤔 #COVID19 #Coronavirius,https://twitter.com/BrieBrie_7/status/1230550458076454912,Brie,Thu Feb 20 17:51:06 +0000 2020
T,"KFC, Pizza Hut operator Yum China says coronavirus has forced it to shut a third of its 9,200 stores in mainland China #coronavirus #coronavirus888 #coronavirusupdates #coronavirusoutbreak #outbreak888",https://twitter.com/coronavirus888/status/1225415654838349824,coronavirus,Thu Feb 06 13:47:13 +0000 2020
T,The chart upmost on my mind next 48 hours going into #NFP and the end of the week! Expecting 0.89/0.82% to be the floor in 10's if things are to #stabalise ! #treasuries #SPX #JPY #COVIDー19 https://t.co/8zy338COWd,https://twitter.com/steveswitzerlan/status/1235510129610629120,steveswitzerland,Thu Mar 05 10:19:04 +0000 2020
U,"During the first week of February, a few of the top mining rig manufacturers from China revealed they were forced to postpone device shipments due to the o...Read more: https://t.co/Xvft2Hsw2z",https://twitter.com/webnowcompany/status/1230903896425537539,webnow,Fri Feb 21 17:15:32 +0000 2020
U,Nature Science Journal Warned About “Pathogens Escaping” Wuhan Level-4 Biosafety Lab (BSL-4) Before Coronavirus Outbreak https://t.co/JAEkQiGHgO via @WorldTruthTV,https://twitter.com/AukinaDokter/status/1221738612653510656,AukinaDokter,Mon Jan 27 10:15:58 +0000 2020
U,"Yes, you are seeing the absolute inefficiency and incompetence of socialized healthcare. You are also witnessing a biowarfare virus at work, that more than likely slipped out of their weapons biowarfare lab. https://t.co/TR2JSDmXw3",https://twitter.com/Leo19919656/status/1229818625084645376,Leo,Tue Feb 18 17:23:03 +0000 2020
T,Some “#EastTurkistan” and anti-China forces saw the #COVID19 outbreak as a chance to spread rumors on foreign social media to slander China’s policies in #Xinjiang. GT acquired an exclusive response from #Xinjiang. Read it here: https://t.co/CT2kDKt2nI,https://twitter.com/IvyFurtado2/status/1229286651790151681,Ivy Furtado,Mon Feb 17 06:09:11 +0000 2020
U,@ArdMemeti or corona is a virus created by the Chinese government to get rid of popullsin e tepert,https://twitter.com/tinaadili/status/1224466145543163904,𝔨𝔦𝔯𝔞,Mon Feb 03 22:54:13 +0000 2020
T,"“The patient [Case WA1] should be recognized for his decision to... so that the world 🌎 may learn from his case, and advance our understanding of novel coronavirus.” #2019nCoV #COVID19 News Release on Jan.31, 2020 by @WADeptHealth https://t.co/Lt3KoRlOca https://t.co/5iM2GRP3zK",https://twitter.com/drannehuang/status/1234030927623282688,Anne Huang| 黃安安,Sun Mar 01 08:21:14 +0000 2020
U,"""It's Winter-Time For Capital Flow"" - Outbreak Sparks Collapse In Chinese Tech Venture Funding  https://t.co/IjFGVX7K9P https://t.co/zkj13Sm7bK",https://twitter.com/NoahJamesBangs/status/1229232506731298816,"💝 Noah, King Of The Troll Hunters 💝",Mon Feb 17 02:34:02 +0000 2020
U,They just confirmed that there is a person infected with the coronavirus in my country ... watch my mom freaking out even more &amp; not letting me go anywhere anymore. 😬,https://twitter.com/Peanut_SPN/status/1233846852048560129,🐾Jess🐾,Sat Feb 29 20:09:47 +0000 2020
T,#Tesla Started to Deliver Model 3 in China Which Was Stopped Earlier By Coronavirus #Model3 #EV https://t.co/moGbLfTX1g,https://twitter.com/chinapev1/status/1229936377313157120,chinapev.com,Wed Feb 19 01:10:58 +0000 2020
U,"@CGTNOfficial Ducks Know-How defence Strategy better than Western Broadcasters Propagandaism Strategy, Who use Mouthpiece against China , While China fighting against #Coronavirus Emergency . All those people ,Who Comments Against China for Coronavirus Should learn from Ducks",https://twitter.com/MaKuoHua/status/1230085312136851456,lifevision,Wed Feb 19 11:02:46 +0000 2020
U,@TeamYouTube @Fight4HongKong Discussing #CoronavirusOutbreak becomes sensitive? Why pro-China channels spreading misinformation about the outbreak can be momentised? Can you explain why 🇭🇰🇹🇼 channels promoting democracy are demonetized without reasons? Is there political censorship from your team members,https://twitter.com/Bleu_1205/status/1230522430893875201,Cindy😷,Thu Feb 20 15:59:44 +0000 2020
U,"@kathrynw5 “Why should the public trust the messaging we are receiving from an administration who has cut pandemic funding, implemented hiring freezes at the CDC, and paraded out maps altered in Sharpie to control the narrative?”",https://twitter.com/QuattroMurphy/status/1232778533006696453,"The E says ""eh?""🤔",Wed Feb 26 21:24:40 +0000 2020
T,LATEST: Second coronavirus death in Hong Kong as quarantine ends on Diamond Princess cruise ship in Japan. https://t.co/mg9ZTXt7Tb #ENDEGO,https://twitter.com/Barbara96913515/status/1230099199318011905,Barbara Santana,Wed Feb 19 11:57:57 +0000 2020
T,Coronavirus so big it even affects iPhone sales. Supplies will be constrained. What's next? iPhone panic buying? https://t.co/ndf4x5LGZP,https://twitter.com/futurepundit/status/1229619629422571520,Randall Parker,Tue Feb 18 04:12:19 +0000 2020
U,Michelle: you can’t buy boba bc you’re gonna get the coronavirus bc it’s from Chinese people 🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️,https://twitter.com/juuaangonzalezz/status/1222384499150819328,juan,Wed Jan 29 05:02:30 +0000 2020
U,"The extended last week remained highly volatile amid F&amp;O expiry, coronavirus fears and a big event — Budget 2020, which disappointed the market as Sensex and Nifty posted the biggest single-day fall in nearly five years",https://twitter.com/muralikumarje/status/1223869919739015168,Markets Today,Sun Feb 02 07:25:01 +0000 2020
T,A good article from @suilee on how the coronavirus is challenging China’s already strained healthcare system. The point about needing more primary care physicians so people can get care without overwhelming hospitals is interesting. https://t.co/n1SzexNAZ0,https://twitter.com/shelzhang/status/1221871677845491712,Shelley Zhang,Mon Jan 27 19:04:43 +0000 2020
U,"@VandanaJayrajan @utpal_parashar True :) Arunachal has similar terrain. May be the video is from China, but am sure the girls in Arunachal too must be doing similar things. May not be motorbike, but a bike, may not be bike, but a cart, whatever. Territory is not the theme, let's consider it as any hilly area",https://twitter.com/Arminiusss/status/1222496899007037440,Arminius🔱,Wed Jan 29 12:29:08 +0000 2020
U,Does the 5% in Wuhan and 70% planning in UK include asymptomatic patients? This might be apples and oranges. https://t.co/gw1Bm5wHLQ https://t.co/BOV06xYVWN,https://twitter.com/DrNSearle/status/1233331446099664899,Nicola Searle,Fri Feb 28 10:01:45 +0000 2020
U,"You're immune once you recover from this corona virus thing, right",https://twitter.com/___Faye/status/1237984427529166848,YOUR ANCESTORS ❤🍑 3.0,Thu Mar 12 06:11:02 +0000 2020
U,RIPPLE EFFECT: Huge disruptions in pharmaceutical supplies reported in INDIA after Wuhan coronavirus disrupts production in China https://t.co/C6oXoNxNow #Quartz #Crystals #Gemstones #Healing #Chakra,https://twitter.com/QuartzHealer/status/1230359550747869184,Quartz Healer,Thu Feb 20 05:12:30 +0000 2020
T,"To whom it may concerns about foreigners entering and leaving China amid #coronavirus outbreak, check this detailed Q&amp;A by @shanghaidaily: https://t.co/Yltuaboqio https://t.co/WklWS6MMzx",https://twitter.com/yicaichina/status/1223133395707990016,Yicai Global 第一财经,Fri Jan 31 06:38:20 +0000 2020
U,@Ash_Pro1 Actually latest news identifies that virus didn’t emanate from the Wuhan food market at all and the Chinese authorities knew this. The world is even crazier than I thought so what they’re doing is either based on incredible incompetence or is a massive cover-up,https://twitter.com/kukuland4/status/1223702160329728001,kukuland,Sat Feb 01 20:18:24 +0000 2020
T,"@sunrisemvmt @JoeBiden U$A = No M4A Influenza Deaths ~0.165M for ~330M people. Deaths at ~0.05%, one death in ~165K people. #COVID19 Deaths ~7.590M for ~330M people. Deaths at ~2.3%, one death in ~50 people. #COVID19 Deaths ~11.220M for ~330M people. Deaths at ~3.4% one death in ~29 people. #VoteUS",https://twitter.com/JDB10101/status/1236333264429887488,AdeloVant,Sat Mar 07 16:49:54 +0000 2020
T,@gerpaq44 @Destinbeach22 Separated room and bathroom ventilation key if a member in household is sick. Why did China make everyone wear masks! if you’re in an area where you’re in close quarters the risk is high if your near someone infected,https://twitter.com/KZPetro/status/1235581091592851456,Covid-19 Covered up!,Thu Mar 05 15:01:02 +0000 2020
U,Hope this is a result of medical emergency chaos and not any lack of transparency or forthrightness.... https://t.co/xeT60Xip7S #Resist,https://twitter.com/TomthunkitsMind/status/1236704808993804288,Tomthunkit™,Sun Mar 08 17:26:17 +0000 2020
U,Trump to sign a trillion $ deal with China to send us transister radios,https://twitter.com/Rengaw24/status/1227619843039485952,Peter Wagner,Wed Feb 12 15:45:53 +0000 2020
U,Tokyo 2020 Olympics torch-lighting ceremony to be held WITHOUT SPECTATORS due to ongoing coronavirus fears https://t.co/5z63nFg3RP https://t.co/ccQW62mBEX,https://twitter.com/EarlDavidWebb/status/1236973775515717633,Earl David Webb,Mon Mar 09 11:15:04 +0000 2020
T,"China's CPI inflation is being driven almost entirely by food inflation which jumped from 17.4% to 20.6% in January, with all the other components ranging from 0.2% to 2.3% #USDCNY https://t.co/uRQToF3W1w",https://twitter.com/macro_daily/status/1226683335604391938,MacroMarketsDaily,Mon Feb 10 01:44:32 +0000 2020
T,"Korea has announced a ban on entry to all foreign nationals (including Korean residents) who have been to Hubei, China, in the last two weeks. Koreans will be allowed entry but will be sent for a two-week quarantine. https://t.co/uexayauusw",https://twitter.com/iampaulkerry/status/1223871656604532741,Paul Kerry,Sun Feb 02 07:31:56 +0000 2020
T,"""Apple Warns That Coronavirus Will Hurt Revenue"" by DAISUKE WAKABAYASHI via NYT https://t.co/BczuZ16lkl https://t.co/TGl5H2hjcY",https://twitter.com/luluee/status/1229543876890943489,Lulú De Panbehchi,Mon Feb 17 23:11:18 +0000 2020
U,"@saltygulf @JavelinaBlue Not shady. As I wrote in my article, Class 9 includes sunglasses, cell phone cases AND a lot of odd things including voting machines. In China, unlike USA, no use is required for registration and it is prudent to claim all goods in a class. I do it too",https://twitter.com/janefourmillion/status/1222779045940588545,Jane Shay Wald,Thu Jan 30 07:10:17 +0000 2020
T,Hospital video shows distressing scene from coronavirus outbreak https://t.co/NsPW2MQujR https://t.co/8meUSzwLuw,https://twitter.com/AmerHoy/status/1220874308559327232,América Hoy,Sat Jan 25 01:01:32 +0000 2020
T,"A current, real-world example of why on-going research on #biodiversity, including the relationships between species and the kinds of virus, parasite, bacteria hosted by different species is important: https://t.co/vSQevCSVwu #ExtendedSpecimen",https://twitter.com/NSCAlliance/status/1230549326319038464,NSCAlliance,Thu Feb 20 17:46:36 +0000 2020
U,Philippine Government: Ban ALL flights from China due to coronavirus and Deport All Non Law Abiding Chinese - Sign the Petition! https://t.co/w6YZPWg5ux via @ChangePilipinas,https://twitter.com/mgmelendrez/status/1222497532464336896,Miggy 🍪,Wed Jan 29 12:31:39 +0000 2020
T,"CORONAVIRUS LIVE UPDATES: February 24, 2020 Hong Kong Impose Quarantine on Mainlanders Death toll from the coronavirus stands at..... (Click BRIGHT BLUE LINE for info &amp; FULL SCREEN!) https://t.co/XRcHdFku1K (thatsmags .com)",https://twitter.com/zancudomine/status/1231866624728276992,Jorge Restrepo M y F,Mon Feb 24 09:01:04 +0000 2020
T,Ask yourself how did this really get out? CDC says its coronavirus test may fail to flag some patients https://t.co/V8PcYF8iIb via @MailOnline,https://twitter.com/AnthonyMichau18/status/1223330766865616896,Anthony M,Fri Jan 31 19:42:37 +0000 2020
T,"#China coronavirus spread is accelerating, Xi Jinping warns https://t.co/UCvrviEGun",https://twitter.com/AsiaPacNews/status/1221069343988961280,Asia Pacific News,Sat Jan 25 13:56:32 +0000 2020
U,How Coronavirus Could Impact the Global Supply Chain by Mid-March https://t.co/HEskTXaYKo,https://twitter.com/jchyip/status/1233783390714900480,Jason Yip,Sat Feb 29 15:57:37 +0000 2020
U,"@nanakwekusekyi My problem is why is Ghana the only country benefiting from this? Are we the only country trading with China? Which the answer is, No. Then it makes it difficult for me to accept it",https://twitter.com/TheRealAckom/status/1232783463096496131,Nana Kwame Ackom™,Wed Feb 26 21:44:16 +0000 2020
T,"Killer Chinese virus comes to the US, CDC says https://t.co/PpVn3YoSzL via @MailOnline",https://twitter.com/cher1511/status/1219871913889214464,Ann Carriage,Wed Jan 22 06:38:23 +0000 2020
T,"#JOHORBAHRU: Universiti Teknologi Malaysia (UTM) today issued a directive that all programmes involving students and staff to China, be postponed with immediate effect, in the wake of the 2019 novel coronavirus threat. https://t.co/nYopxjmITH https://t.co/9433bsYPYU",https://twitter.com/DailyExpress_MY/status/1222757869667438592,Daily Express Sabah,Thu Jan 30 05:46:08 +0000 2020
T,The Duran Live: E53. Corona X-FACTOR https://t.co/TQ9WPdYkoT via @YouTube,https://twitter.com/Blackword/status/1234455554057072641,Blackword,Mon Mar 02 12:28:33 +0000 2020
U,I sort of believe it's man-made virus https://t.co/gof8MLWCr8,https://twitter.com/nihdo98/status/1231877598403289089,Nihad🍒,Mon Feb 24 09:44:41 +0000 2020
U,"They've mentioned: Flu, Sars &amp; now CV All man made? Vaccines given for all? Is this anything more than a common day cold or virus, mutated &amp; vaccine resistant like the first 2? #China is desperate. #DeepState here is desperate,who's involved? Perhaps the biggest FFE yet",https://twitter.com/BTN49093417/status/1222522345534812160,Storm™,Wed Jan 29 14:10:15 +0000 2020
U,@imryanmccormick @JackPosobiec did internet cut down in USA?? coz none of the mainstream media were reporting about this deadly virus killing 6600 american so far https://t.co/YRbscVQTvt,https://twitter.com/2NE1FourEverrrr/status/1220422205877768201,minusone,Thu Jan 23 19:05:02 +0000 2020
U,"@CAP_PhD @brianschatz My point exactly. Politics is not relevant in medicine (to me) If you feel gun violence is medical issue, we have no common viewpoint. The virus is the threat now. You can attack Trump later. People are dying. The CDC is 'monitoring' the situation. Wow",https://twitter.com/drachenvogel/status/1231796008117358593,Drachen Vogel ⁿ,Mon Feb 24 04:20:28 +0000 2020
T,"#Breaking: All exit-entry services for Chinese citizens are closed until January 30 in #Wuhan, the epicenter of the #CoronavirusOutbreak https://t.co/oHiYVVvlWl https://t.co/Qpm5oUJpFI",https://twitter.com/News247WorldPre/status/1221683095516123137,News247WorldPress,Mon Jan 27 06:35:22 +0000 2020
T,"@darinp2 @charliekirk11 4 million test kits will be distributed this week. CDC &amp; FDA rules were too tight initially and they had wrong reagent. Now that private firms are in the mix something AIC and progressives would do away with we will have 640,000!kits distributed tomorrow &amp; 4.0 mil by fri",https://twitter.com/Netpropheting/status/1236758809340784642,David Reich,Sun Mar 08 21:00:52 +0000 2020
U,"""[Azar] argued that the U.S. [testing] capacity is comparable with other countries facing a similar amount of COVID-19 cases."" The number of cases, it should be noted, are low in no small part due to the U.S. having an inadequate testing capacity",https://twitter.com/Frances_Larina/status/1235738109121196037,Frances_Larina,Fri Mar 06 01:24:58 +0000 2020
T,"@JoshForNY “Still.... no #coronavirus whatsoever” Why make a false statement? You cannot possibly verify absense of virus. Median 6-10 day incubation period, and asymptotic can pass on the virus as well. Further, head of CDC is saying it is spreading here now. R0 is estimated at perhaps 4",https://twitter.com/COVID2019_/status/1228193821864779776,COVID19 Tracker,Fri Feb 14 05:46:40 +0000 2020
T,British victim describes what it is like to have coronavirus https://t.co/e9WY7kSij4 via @MailOnline,https://twitter.com/heather_venter/status/1230483840881348608,Heather Venter,Thu Feb 20 13:26:23 +0000 2020
T,Novel coronavirus: Expert explains differences between droplet and aeros... https://t.co/GtqGwZQ93J - @YouTube,https://twitter.com/Quarantine49/status/1227221889396793346,Andrew Oh,Tue Feb 11 13:24:33 +0000 2020
T,#coronavirus has nothing to do with Corona Beer,https://twitter.com/evanspetlo/status/1222776492242894848,Mr Bae 💕,Thu Jan 30 07:00:08 +0000 2020
T,Oregon health officials release more information about 3 people who tested positive for coronavirus https://t.co/Cgx5OJDOGd,https://twitter.com/KGWNews/status/1236108076316536833,KGW News,Sat Mar 07 01:55:05 +0000 2020
T,Wuhan virus: Japan's first case of human-to-human transmission https://t.co/ouC6rfTsLp via @YouTube,https://twitter.com/infinity10/status/1222184664980262912,infinity10,Tue Jan 28 15:48:25 +0000 2020
U,Rouhani complains about the #MEK exposing the regime's cover-up of the #coronavirus death toll https://t.co/NVHPdmrhkL #FreeIran2020 #KhameneiSpreadsCoronaVirus #CrimesAgainstHumanity #COVIDー19,https://twitter.com/elham16696986/status/1236205307363278849,elham,Sat Mar 07 08:21:27 +0000 2020
U,"@unhealthytruth @MsK89680121 If it takes four men to get one person that’s suppose to be sick then there’s definitely something else going on here...a sick person doesn’t have this kind of strength. Besides if you think you’re gonna get help, why fight back? Something very bad is going on in China",https://twitter.com/Farmgirl2262/status/1226523425973424128,Bab,Sun Feb 09 15:09:07 +0000 2020
T,Signs and Symptoms | Lassa Fever | CDC https://t.co/5Mbg17Ve5H,https://twitter.com/drsimonakogu/status/1219822653118255105,People's Gynecologist,Wed Jan 22 03:22:38 +0000 2020
T,[Non-Meteorology] We (in 🇭🇰 Hong Kong) just had the first case of #WuhanCoronavirus 2019-nCoV... The patient is a tourist from #Wuhan... Four family members of him were NOT quarantined but flew to 🇵🇭 #Manila onboard #CebuPacific flight #5J111 today... https://t.co/MsL37dxfs8,https://twitter.com/ptccfeed/status/1219965446998200320,PTCC,Wed Jan 22 12:50:03 +0000 2020
T,UAE confirms coronavirus case in family from China https://t.co/VH0ary7gEq,https://twitter.com/Apex_WW/status/1222388303745384450,Apex,Wed Jan 29 05:17:37 +0000 2020
U,"@KatariyaPran @VaghaniHitesh yes joke. officials r told to screen people from china,iran,korea,italy. rest of suiciders r free to enter. v r lucky tht it entered march. in jan many record deaths would hav appeared till now. hopeless system here. govt was busy at shaheenbagh violence",https://twitter.com/guneet02527819/status/1236760051290910720,guneet,Sun Mar 08 21:05:48 +0000 2020
U,@zlj517 It's #China's fault in first place that this #Virus exist &amp; Spread this quickly around the #Globe. Now you all congratulate them???🤦‍♂️ If #CCP not all time try to cover up their wrong doing then this Virus would never got this far. #Wuhan #WuhanCoronavirusOutbreak #coronavirus https://t.co/HKCB1r0IVo,https://twitter.com/Fight4Kong/status/1223320121550278661,Mathias,Fri Jan 31 19:00:19 +0000 2020
T,"If you have #epilepsy or other medical needs, these helpful tips from the CDC can help you prepare and protect yourself in case of emergencies. https://t.co/yIvJpNmksy https://t.co/NOSdizuecP",https://twitter.com/EPICLongIsland/status/1231035882297270274,EPIC LI,Sat Feb 22 02:00:00 +0000 2020
U,Chinese travelling to Lagos to be quarantined over Coronavirus – Lagos State,https://twitter.com/Gen_Buhar/status/1222652514052595712,Jubril of Sudan till 2023,Wed Jan 29 22:47:29 +0000 2020
U,"@edmnangagwa Is Zimbabwe prepared if the Corona Virus 🦠 Epidemic becomes a problem for our people? If so, what measures do we have in place",https://twitter.com/AmZimbabwean/status/1222272973597376512,I Am Zimbabwean,Tue Jan 28 21:39:20 +0000 2020
U,Probably the last twitter day where Wuhan and coronavirus aren’t trending. Wuhan has a level 4 Bio lab and we’re blaming some girl eating a bat 🦇....😂,https://twitter.com/cazyp/status/1220594588424994816,Caz,Fri Jan 24 06:30:02 +0000 2020
U,"Linked to their recent launch of 5G? ""South Korea becomes most infected country outside China for coronavirus as cases spike"" https://t.co/213cqerpqd",https://twitter.com/wisenaive/status/1230890514330705921,Kay Bee,Fri Feb 21 16:22:22 +0000 2020
U,"@nytimes If HKGov blocked border with China completely a month ago, other countries would not ban the travel from Hong Kong The impact on economy and other aspects are all due to the governance failure of HKGov HKers protest for autonomy for months, bc we know existing HKGov is useless https://t.co/wuVDdOPXmA",https://twitter.com/shiroihamusan/status/1225962847466770432,小白鼠先生😷,Sat Feb 08 02:01:34 +0000 2020
T,Nigerians in China seek evacuation over coronavirusNigeria – Guardian https://t.co/iVNvpuUvOC,https://twitter.com/opennewswindow/status/1228197071859023873,Open News Window,Fri Feb 14 05:59:35 +0000 2020
T,Coronavirus: Two cases confirmed in UK #3NewsGH Click⬇️https://t.co/1WAd3PiAMd,https://twitter.com/3Newsgh/status/1223256981902970880,www.3news.com,Fri Jan 31 14:49:26 +0000 2020
T,"🏴‍☠️ New deaths: 115 in China, 2 in Diamond Princess, 1 in S. https://t.co/odGavTYNtc",https://twitter.com/KungFlu_19/status/1230415516709330944,Chinese Kung Flu Bot,Thu Feb 20 08:54:53 +0000 2020
U,"This strain, called 2019-nCoV, is too new for any useful data on mortality (two other coronaviruses, severe acute respiratory syndrome, or SARS, and Middle East respiratory syndrome, or MERS, have been reported to kill about 15 percent and 35 percent of infected people)",https://twitter.com/ILLUMINATIAM111/status/1220470323503435777,⚠️ＩＬＬＵＭＩＮ♢ＵＳ（ぎ代翁）▲,Thu Jan 23 22:16:15 +0000 2020
T,Several US colleges have canceled basketball games over coronavirus fears #CoronaOutbreak #CoronaVirusUpdate #CoronaAlert #coronavirus #Covid_19 #COVIDー19 #coronavirustruth https://t.co/UvCB2xdMYm,https://twitter.com/samehelbarqy/status/1235298901181239299,Sameh Albarqy,Wed Mar 04 20:19:43 +0000 2020
U,"China Restricts Medical Supply Donations, Despite Dire Need During Virus Outbreak https://t.co/Lv7PgtpIjm https://t.co/I6T3BAOaVP",https://twitter.com/ducnnet/status/1222167498302394368,中華文化,Tue Jan 28 14:40:13 +0000 2020
T,"China quarantines city of 11,000,000 after coronavirus outbreak (Metro) https://t.co/HKYQQxpvnY",https://twitter.com/tonikan11/status/1220348046858473474,TONI KAN (Lagosian Panglosian),Thu Jan 23 14:10:21 +0000 2020
T,"Shocking news-14,840 new cases #coronavirus and 242 new deaths. 60,016 cases worldwide: - New criteria includes clinically diagnosed cases - 16,067 suspected cases - 1,355 fatalities - 8,070 in serious/critical condition. @IndoPac_Info @Aryanwarlord @desertfox61I @sayareakd https://t.co/AxIwJ02l0z",https://twitter.com/chak2006/status/1227765711692386304,Chakaravarthy,Thu Feb 13 01:25:31 +0000 2020
U,"@Mike2020 Hey, y'all! Hit China on the arrest of the doctors who spotted the new virus. (See Daily Beast article!) All the Asian doctors in this country alone will notice if we are first. Ad time",https://twitter.com/vsuewallace/status/1224327922951081984,virginia sue wallace,Mon Feb 03 13:44:58 +0000 2020
T,China coronavirus outbreak: All the latest updates @AJENews https://t.co/wDc3xK2qB1,https://twitter.com/moviegeekjn/status/1220473605923864577,John A. Nesbit,Thu Jan 23 22:29:17 +0000 2020
U,"In Japan, new pneumonia infection by coronavirus is beginning to spread. The stupid Abe administration did not take steps to stop it early. However, Abe has promised to benefit the privileged class, so he wants to host the Tokyo Olympics this summer. Can the world forgive it?🙄 https://t.co/Xz4nkmvyWX",https://twitter.com/Rambling_Hermit/status/1229176625591287808,ゴマメノハギシリ,Sun Feb 16 22:51:59 +0000 2020
U,Senator Tom Cotton: Trump Should Consider China Travel Ban Over Coronavirus Outbreak https://t.co/nocvrmAFYp via @gatewaypundit,https://twitter.com/TTysonToni1/status/1220824641666801666,Toni Tyson,Fri Jan 24 21:44:11 +0000 2020
U,"@ScottMorrisonMP close the borders, put Australia first! Its not bloody racist to keep your people safe! https://t.co/g3GDD5x991",https://twitter.com/AusMazer/status/1231888971589832704,AusMazer 🇦🇺,Mon Feb 24 10:29:52 +0000 2020
